source	storage_key	src_path	original_zotero_name	flat_name	sha256
storage	YZEJI7GU	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/YZEJI7GU/Alhamad et al. - 2024 - Handwritten Recognition Techniques A Comprehensiv.pdf	Alhamad et al. - 2024 - Handwritten Recognition Techniques A Comprehensiv.pdf	Alhamad et al. - 2024 - Handwritten Recognition Techniques A Comprehensiv.pdf	f2048695a70c
storage	Z5M6XHLM	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/Z5M6XHLM/Scannell_Diachronic Parsing of Pre-Standard Irish.pdf	Scannell_Diachronic Parsing of Pre-Standard Irish.pdf	Scannell_Diachronic Parsing of Pre-Standard Irish.pdf	3e216fe0e217
storage	ZA6FKZVC	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/ZA6FKZVC/Tan et al. - 2025 - ELF Educational LLM Framework of Improving and Evaluating AI Generated Content for Classroom Teachi.pdf	Tan et al. - 2025 - ELF Educational LLM Framework of Improving and Evaluating AI Generated Content for Classroom Teachi.pdf	Tan et al. - 2025 - ELF Educational LLM Framework of Improving and Evaluating AI Generated Content for Classroom Teachi.pdf	0deb10d7f0fa
storage	ZFHBYXX8	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/ZFHBYXX8/Thapa et al. - 2022 - SplitFed When Federated Learning Meets Split Lear.pdf	Thapa et al. - 2022 - SplitFed When Federated Learning Meets Split Lear.pdf	Thapa et al. - 2022 - SplitFed When Federated Learning Meets Split Lear.pdf	5fcec79934b9
storage	ZJJ97RKQ	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/ZJJ97RKQ/Clifford et al. - Gaeilge Bhriste ó Shamhlacha Cliste How Clever Are LLMs When Translating Irish Text.pdf	Clifford et al. - Gaeilge Bhriste ó Shamhlacha Cliste How Clever Are LLMs When Translating Irish Text.pdf	Clifford et al. - Gaeilge Bhriste ó Shamhlacha Cliste How Clever Are LLMs When Translating Irish Text__dup2.pdf	54cd4d4b2cfe
storage	ZQ6LQ9PF	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/ZQ6LQ9PF/Loinsigh et al. - 2022 - Anailís Dhiacronach Chorpasbhunaithe ar Cheantair .pdf	Loinsigh et al. - 2022 - Anailís Dhiacronach Chorpasbhunaithe ar Cheantair .pdf	Loinsigh et al. - 2022 - Anailís Dhiacronach Chorpasbhunaithe ar Cheantair .pdf	1f95bc43cc4d
storage	ZS39UKNQ	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/storage/ZS39UKNQ/Hiltmann et al. - 2025 - NER4all or Context is All You Need Using LLMs for low-effort, high-performance NER on historical te.pdf	Hiltmann et al. - 2025 - NER4all or Context is All You Need Using LLMs for low-effort, high-performance NER on historical te.pdf	Hiltmann et al. - 2025 - NER4all or Context is All You Need Using LLMs for low-effort, high-performance NER on historical te.pdf	5c8d2d5b6dfd
taighde_gaelach_zotero	-	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/taighde_gaelach_zotero/Cló Gaelach agus Transkribus – Aistriúcháin.pdf	Cló Gaelach agus Transkribus – Aistriúcháin.pdf	Cló Gaelach agus Transkribus – Aistriúcháin.pdf	523ee9dd8b8c
taighde_gaelach_zotero	-	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/taighde_gaelach_zotero/GaeilgeML/files/106/W16-6508.pdf	W16-6508.pdf	W16-6508.pdf	3d9f2e53d9a4
taighde_gaelach_zotero	-	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/taighde_gaelach_zotero/GaeilgeML/files/107/W14-46.pdf	W14-46.pdf	W14-46.pdf	a60577c2ee8c
taighde_gaelach_zotero	-	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/taighde_gaelach_zotero/GaeilgeML/files/354/Raghallaigh et al. - 2019 - Improving full-text search results on dúchas.ie us.pdf	Raghallaigh et al. - 2019 - Improving full-text search results on dúchas.ie us.pdf	Raghallaigh et al. - 2019 - Improving full-text search results on dúchas.ie us.pdf	8fc53ef85ef0
taighde_gaelach_zotero	-	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/taighde_gaelach_zotero/GaeilgeML/files/355/Dowling et al. - 2019 - Leveraging backtranslation to improve machine tran.pdf	Dowling et al. - 2019 - Leveraging backtranslation to improve machine tran.pdf	Dowling et al. - 2019 - Leveraging backtranslation to improve machine tran.pdf	11ed46fd4997
taighde_gaelach_zotero	-	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/taighde_gaelach_zotero/GaeilgeML/files/356/McCrae and Doyle - 2019 - Adapting Term Recognition to an Under-Resourced La.pdf	McCrae and Doyle - 2019 - Adapting Term Recognition to an Under-Resourced La.pdf	McCrae and Doyle - 2019 - Adapting Term Recognition to an Under-Resourced La.pdf	80113995354e
taighde_gaelach_zotero	-	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/taighde_gaelach_zotero/GaeilgeML/files/357/Lynn and Scannell - 2019 - Code-switching in Irish tweets A preliminary anal.pdf	Lynn and Scannell - 2019 - Code-switching in Irish tweets A preliminary anal.pdf	Lynn and Scannell - 2019 - Code-switching in Irish tweets A preliminary anal.pdf	fc9c28e6c42e
taighde_gaelach_zotero	-	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/taighde_gaelach_zotero/GaeilgeML/files/358/Fransen - Past, present and future Computational approaches.pdf	Fransen - Past, present and future Computational approaches.pdf	Fransen - Past, present and future Computational approaches.pdf	cd956ae36e8e
taighde_gaelach_zotero	-	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/taighde_gaelach_zotero/GaeilgeML/files/359/Lyons - httpscs.slu.edu~scannellpubtechspaceindex.h.pdf	Lyons - httpscs.slu.edu~scannellpubtechspaceindex.h.pdf	Lyons - httpscs.slu.edu~scannellpubtechspaceindex.h.pdf	db2aba85d2be
taighde_gaelach_zotero	-	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/taighde_gaelach_zotero/GaeilgeML/files/360/Scannell - Neural Models for Predicting Celtic Mutations.pdf	Scannell - Neural Models for Predicting Celtic Mutations.pdf	Scannell - Neural Models for Predicting Celtic Mutations.pdf	d718d1e04f13
taighde_gaelach_zotero	-	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/taighde_gaelach_zotero/GaeilgeML/files/361/Loingsigh and Raghallaigh - Starting from Scratch – The Creation of an Irish-l.pdf	Loingsigh and Raghallaigh - Starting from Scratch – The Creation of an Irish-l.pdf	Loingsigh and Raghallaigh - Starting from Scratch – The Creation of an Irish-l.pdf	4097291db37a
taighde_gaelach_zotero	-	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/taighde_gaelach_zotero/GaeilgeML/files/362/Scannell - 2020 - Claonadh Inscne, Líonraí Néaracha, agus an Ghaeilg.pdf	Scannell - 2020 - Claonadh Inscne, Líonraí Néaracha, agus an Ghaeilg.pdf	Scannell - 2020 - Claonadh Inscne, Líonraí Néaracha, agus an Ghaeilg.pdf	653e14ac3208
taighde_gaelach_zotero	-	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/taighde_gaelach_zotero/GaeilgeML/files/364/Raghallaigh et al_Handwritten Text Recognition (HTR) for Irish-Language Folklore.pdf	Raghallaigh et al_Handwritten Text Recognition (HTR) for Irish-Language Folklore.pdf	Raghallaigh et al_Handwritten Text Recognition (HTR) for Irish-Language Folklore.pdf	db1f01f299cd
taighde_gaelach_zotero	-	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/taighde_gaelach_zotero/GaeilgeML/files/365/Scannell_Diachronic Parsing of Pre-Standard Irish.pdf	Scannell_Diachronic Parsing of Pre-Standard Irish.pdf	Scannell_Diachronic Parsing of Pre-Standard Irish.pdf	3e216fe0e217
taighde_gaelach_zotero	-	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/taighde_gaelach_zotero/Linguistic-Study-of-the-Use-of-Irish-in-the-Gaeltacht.pdf	Linguistic-Study-of-the-Use-of-Irish-in-the-Gaeltacht.pdf	Linguistic-Study-of-the-Use-of-Irish-in-the-Gaeltacht.pdf	13b22e06bb08
taighde_gaelach_zotero	-	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/taighde_gaelach_zotero/Mothukuri et al_2021_A survey on security and privacy of federated learning.pdf	Mothukuri et al_2021_A survey on security and privacy of federated learning.pdf	Mothukuri et al_2021_A survey on security and privacy of federated learning.pdf	8e535836f0a7
taighde_gaelach_zotero	-	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/taighde_gaelach_zotero/Toolan_Carthy_2010_Feature selection for Spam and Phishing detection.pdf	Toolan_Carthy_2010_Feature selection for Spam and Phishing detection.pdf	Toolan_Carthy_2010_Feature selection for Spam and Phishing detection.pdf	81ef46c5f5ea
taighde_gaelach_zotero	-	/Users/cianmacandeisigh/dev/kings_college_galway/author_cian_deacy_lyons_mac_an_déisigh_uí_liatháin/zotero/taighde_gaelach_zotero/update-to-the-comprehensive-linguistic-study-on-the-usage-of-irish-in-the-gaeltacht-20.pdf	update-to-the-comprehensive-linguistic-study-on-the-usage-of-irish-in-the-gaeltacht-20.pdf	update-to-the-comprehensive-linguistic-study-on-the-usage-of-irish-in-the-gaeltacht-20.pdf	f7ccfa80ec11
